"temp","ozone","solar","wind"
67,41,190,7.4
72,36,118,8
74,12,149,12.6
62,18,313,11.5
65,23,299,8.6
59,19,99,13.8
61,8,19,20.1
69,16,256,9.7
66,11,290,9.2
68,14,274,10.9
58,18,65,13.2
64,14,334,11.5
66,34,307,12
57,6,78,18.4
68,30,322,11.5
62,11,44,9.7
59,1,8,9.7
73,11,320,16.6
61,4,25,9.7
61,32,92,12
67,23,13,12
81,45,252,14.9
79,115,223,5.7
76,37,279,7.4
82,29,127,9.7
90,71,291,13.8
87,39,323,11.5
82,23,148,8
77,21,191,14.9
72,37,284,20.7
65,20,37,9.2
73,12,120,11.5
76,13,137,10.3
84,135,269,4.1
85,49,248,9.2
81,32,236,9.2
83,64,175,4.6
83,40,314,10.9
88,77,276,5.1
92,97,267,6.3
92,97,272,5.7
89,85,175,7.4
73,10,264,14.3
81,27,175,14.9
80,7,48,14.3
81,48,260,6.9
82,35,274,10.3
84,61,285,6.3
87,79,187,5.1
85,63,220,11.5
74,16,7,6.9
86,80,294,8.6
85,108,223,8
82,20,81,8.6
86,52,82,12
88,82,213,7.4
86,50,275,7.4
83,64,253,7.4
81,59,254,9.2
81,39,83,6.9
81,9,24,13.8
82,16,77,7.4
89,122,255,4
90,89,229,10.3
90,110,207,8
86,44,192,11.5
82,28,273,11.5
80,65,157,9.7
77,22,71,10.3
79,59,51,6.3
76,23,115,7.4
78,31,244,10.9
78,44,190,10.3
77,21,259,15.5
72,9,36,14.3
79,45,212,9.7
81,168,238,3.4
86,73,215,8
97,76,203,9.7
94,118,225,2.3
96,84,237,6.3
94,85,188,6.3
91,96,167,6.9
92,78,197,5.1
93,73,183,2.8
93,91,189,4.6
87,47,95,7.4
84,32,92,15.5
80,20,252,10.9
78,23,220,10.3
75,21,230,10.9
73,24,259,9.7
81,44,236,14.9
76,21,259,15.5
77,28,238,6.3
71,9,24,10.9
71,13,112,11.5
78,46,237,6.9
67,18,224,13.8
76,13,27,10.3
68,24,238,10.3
82,16,201,8
64,13,238,12.6
71,23,14,9.2
81,36,139,10.3
69,7,49,10.3
63,14,20,16.6
70,30,193,6.9
75,14,191,14.3
76,18,131,8
68,20,223,11.5
